amfi_code,cagr_rank,sharpe_rank,alpha_rank,expense_rank,mdd_rank,raw_score,Fund_Score
100016,36.0,35.0,39.0,32.0,34.0,35.55,0.08779631255486772
100025,33.0,39.0,38.0,2.0,4.0,27.95,26.777875329236167
100033,2.0,7.0,6.0,17.0,20.0,8.1,96.4881474978051
101206,3.0,9.0,12.0,36.5,9.0,11.925,83.05531167690957
101207,39.0,28.0,27.0,28.5,38.0,32.175,11.940298507462686
101208,31.0,40.0,33.0,11.0,3.0,27.849999999999998,27.12906057945566
102885,19.0,16.0,19.0,34.0,7.0,19.3,57.15539947322212
102886,38.0,36.0,40.0,24.5,35.0,35.574999999999996,0.0
102887,9.0,22.0,21.0,39.5,30.0,21.325,50.04389815627743
118632,17.0,8.0,11.0,24.5,23.0,15.275000000000002,71.29060579455661
118633,16.0,21.0,22.0,5.5,26.0,17.875,62.159789288849865
118634,28.0,26.0,18.0,28.5,32.0,25.974999999999998,33.71378402107111
118635,22.0,19.0,23.0,13.0,10.0,18.9,58.560140474100095
118636,34.0,38.0,35.0,1.0,6.0,27.45,28.53380158033362
119092,35.0,31.0,30.0,39.5,15.0,31.675,13.696224758560126
119093,14.0,29.0,28.0,8.0,31.0,21.35,49.95610184372256
119094,1.0,11.0,9.0,17.0,28.0,10.2,89.11325724319579
119095,40.0,33.0,37.0,17.0,39.0,34.1,5.17998244073747
119120,32.0,37.0,34.0,9.0,5.0,27.500000000000004,28.35820895522386
119551,8.0,4.0,10.0,30.5,17.0,11.675,83.9332748024583
119552,23.0,12.0,15.0,4.0,11.0,14.599999999999998,73.6611062335382
119598,7.0,14.0,1.0,21.0,36.0,12.549999999999999,80.86040386303777
119599,37.0,32.0,36.0,5.5,40.0,31.125,15.627743634767327
120503,24.0,17.0,17.0,20.0,14.0,19.25,57.33099209833187
120504,6.0,10.0,13.0,12.0,12.0,9.899999999999999,90.16681299385426
120505,5.0,5.0,3.0,15.0,25.0,8.1,96.4881474978051
120506,15.0,20.0,20.0,19.0,27.0,19.05,58.03336259877085
120507,29.0,23.0,31.0,7.0,1.0,21.8,48.37576821773485
120841,20.0,24.0,25.0,35.0,24.0,24.65,38.366988586479366
120842,27.0,30.0,29.0,33.0,33.0,29.65,20.807726075504824
120843,10.0,2.0,5.0,22.0,13.0,9.1,92.97629499561019
120844,30.0,34.0,32.0,3.0,2.0,24.549999999999997,38.71817383669886
125497,18.0,18.0,16.0,14.0,18.0,16.999999999999996,65.23266022827042
125498,26.0,27.0,26.0,10.0,29.0,24.15,40.12291483757682
148567,4.0,1.0,7.0,23.0,8.0,7.1,100.0
148568,25.0,15.0,14.0,26.5,19.0,19.924999999999997,54.96049165935031
148569,13.0,3.0,4.0,36.5,21.0,13.025,79.19227392449517
149322,21.0,25.0,24.0,30.5,16.0,23.525000000000002,42.31782265144862
149323,12.0,6.0,8.0,38.0,22.0,14.599999999999998,73.6611062335382
149324,11.0,13.0,2.0,26.5,37.0,14.625,73.57330992098332
